Date,Predicted_Revenue,Lower_Bound,Upper_Bound
2011-12-10,10241.12855476069,0.0,25988.0112156232
2011-12-11,31086.88915553321,15178.70174669884,47052.56986948129
2011-12-12,41223.22226523478,25810.82007818163,56845.740763537724
2011-12-13,42299.93746428051,27546.62865093305,58848.70444138357
2011-12-14,37767.172710086306,22503.51707856763,53230.04328503532
2011-12-15,43296.731973438174,27824.596989809634,58291.10639005
2011-12-16,32543.37287555304,17330.894646248897,47534.414434253944
2011-12-17,0.0,0.0,14805.315859342752
2011-12-18,19565.021313766603,4416.737633414902,34071.56279022544
2011-12-19,29472.98611858615,13399.984895637284,45867.06335578101
2011-12-20,30490.594840023077,14616.118885358566,45796.875448312574
2011-12-21,26073.744990224288,11088.005971827673,41854.486817755365
2011-12-22,31895.97400995624,17037.778866666406,47730.823144385686
2011-12-23,21609.62605314904,6488.139573806403,36885.35648799129
2011-12-24,0.0,0.0,4695.359775197954
2011-12-25,10057.973244578166,0.0,25823.618484265986
2011-12-26,20900.51143499232,5865.468159491242,36242.327522889194
2011-12-27,22977.327733848026,7390.864592034273,38575.075909528336
2011-12-28,19723.170552066025,4080.312251019975,34805.580863985386
2011-12-29,26787.79688589072,11149.560896295674,41756.955684196946
2011-12-30,17797.70999135809,1495.0929058268491,32187.839234093855
2011-12-31,0.0,0.0,2355.2383106098605
2012-01-01,8890.32747911895,0.0,24413.869667224295
2012-01-02,21024.756003773426,5569.107040044506,36866.23346758013
2012-01-03,24336.489017039126,8999.469136305972,39596.877084054555
2012-01-04,22234.16064453796,7643.737250990774,38142.51276485462
2012-01-05,30343.40517014446,14627.270354429374,46093.407484214105
2012-01-06,22269.203979587273,6904.691136778739,35965.32539745347
2012-01-07,0.0,0.0,6494.9532037488525
2012-01-08,14737.491032568869,0.0,30301.473501886252
2012-01-09,27306.136833243825,11140.929767267453,42050.684075562844
2012-01-10,30872.85610074846,16078.752670135676,46730.187483398615
2012-01-11,28844.124784258987,13638.030916496898,45785.20236279099
2012-01-12,36847.85475006144,21517.340138144104,53946.07357360805
2012-01-13,28495.664314715283,13346.327883948426,44880.70553978037
2012-01-14,0.0,0.0,12331.640476114484
2012-01-15,19937.641525935524,5328.796055282724,35826.39075276211
2012-01-16,31790.786824568586,16972.69581680147,47263.22075464071
2012-01-17,34534.281263191806,19032.226374834212,49012.59180609411
2012-01-18,31598.13878395229,16521.28709911756,48139.57944098217
2012-01-19,38635.595721111844,21946.808315031336,54159.94318113191
2012-01-20,29284.710492313232,14512.13551847729,45153.7608793583
2012-01-21,0.0,0.0,14123.04909696165
2012-01-22,18739.186700593382,4447.039802253074,33370.85969043077
2012-01-23,29655.70316223067,15900.70941192687,45161.06346923288
2012-01-24,31533.152003120973,16392.867023301485,47882.70268686517
2012-01-25,27823.271614416433,12072.77727458881,44702.74758209174
2012-01-26,34198.233779224785,19241.885816907634,49012.07183358134
2012-01-27,24311.777835408935,8376.746364790191,39713.26063888248
2012-01-28,0.0,0.0,8270.555520075879
2012-01-29,13120.19532004889,0.0,28514.980640104794
2012-01-30,23938.464082531464,8125.386288989082,39871.82269689583
2012-01-31,25868.853830339376,9814.915256860992,42635.46806370749
2012-02-01,22359.01841711474,6494.224063199958,36480.24463141794
2012-02-02,29073.15938890702,13582.630186978222,43522.70313387214
2012-02-03,19653.43483331841,3922.5213952221006,35030.66784372008
2012-02-04,0.0,0.0,3354.3130503308284
2012-02-05,9715.900838401307,0.0,25036.84656626106
2012-02-06,21284.014562157754,5781.410921431168,38124.1664067496
2012-02-07,24017.966961847913,9247.417576660177,38928.86745510807
2012-02-08,21342.81724812588,6368.284842791001,37019.41888519738
2012-02-09,28899.762284632456,13457.2541184118,43710.14073250151
2012-02-10,20308.192337781733,5309.99979566143,34562.362030954835
2012-02-11,0.0,0.0,3334.9995031144435
2012-02-12,11896.891754521359,0.0,28112.698338111022
2012-02-13,24124.241820413336,8585.470660398923,40185.10604701081
2012-02-14,27426.132747227326,11972.01539068993,44131.79915784802
2012-02-15,25214.630602427726,10959.616107497244,40430.500769359336
2012-02-16,33121.17367191956,18109.863588369266,49003.46405821355
2012-02-17,24758.852609974623,9655.988520731406,39435.42769748012
2012-02-18,0.0,0.0,8575.637091799936
2012-02-19,16437.730244062455,1600.8475637286433,31827.955659009025
2012-02-20,28531.288217690468,12868.587752966774,43719.38553233421
2012-02-21,31589.324238674042,14473.637875024613,48010.39342186696
2012-02-22,29034.67997796516,14547.700660886605,44408.88419765764
2012-02-23,36512.254982266255,22523.855873066575,51809.30302438879
2012-02-24,27650.849206477422,12713.044037480777,43753.8952790099
2012-02-25,0.0,0.0,11361.89686575381
2012-02-26,18192.253866250965,2057.1095028999384,34215.65470068989
2012-02-27,29685.39455191606,14970.849584402451,44926.15718014955
2012-02-28,32147.68376420091,16879.787273211416,47584.44913994949
2012-02-29,29020.794458583463,13561.518410410514,43743.60787226285
2012-03-01,35967.37631259972,20212.53719164223,51160.436493610316
2012-03-02,26632.38049699289,11738.150955676654,43250.62410193949
2012-03-03,0.0,0.0,10481.180733284318
2012-03-04,16452.702619433192,2235.73943178334,33368.8860115706
2012-03-05,27718.81849936457,11619.578156647318,42789.09235473396
2012-03-06,30051.86537726878,15522.372963632142,44293.47643030623
2012-03-07,26896.179646849447,10411.357052190351,42174.95397236526
2012-03-08,33913.86715547823,19001.80294931549,49146.70510105105
